carNum|sex|age|marriage|region|job|capacity|year|type|income
B0057|남|57|기혼|제주|전문직|3500|2009|C|4550
B0058|남|42|기혼|부산|프리랜서|3500|2000|F|4200
B0059|여|50|미혼|강원|주부|3000|2012|D|3900
B0060|여|32|기혼|울산|전문직|3500|2010|E|4550
B0061|남|51|미혼|충남|회사원|3500|2006|H|5510
B0062|여|62|미혼|전북|학생|3500|2013|H|4200
B0063|여|37|기혼|전북|개인사업|4000|2016|D|5200
B0064|남|51|기혼|경북|회사원|3000|2002|E|3900
B0065|여|66|미혼|충남|회사원|3500|2013|A|4200
B0066|남|36|기혼|대전|전문직|3500|2002|C|3850
B0067|여|63|미혼|충북|주부|3500|2005|E|4550
B0068|남|58|기혼|대전|전문직|3000|2014|F|3900
B0069|남|20|기혼|대전|학생|2500|2015|D|2750
B0070|남|45|미혼|대구|전문직|3000|2015|C|3600
B0071|여|42|기혼|인천|학생|3000|2014|G|3300
B0072|남|25|미혼|경기|학생|4000|2000|G|4400
B0073|여|64|기혼|세종|공무원|3500|2007|C|4809
B0074|남|21|미혼|인천|회사원|3500|2015|D|4550
B0075|여|40|기혼|충남|회사원|2500|2013|B|2750
B0076|남|56|미혼|전북|학생|3000|2002|A|3600
B0077|여|47|미혼|전북|주부|3000|2013|C|3600
B0078|여|15|기혼|제주|회사원|3500|2007|F|4550
B0079|여|42|미혼|세종|개인사업|4500|2000|G|4950
B0080|남|66|미혼|울산|프리랜서|4000|2011|A|5200
B0081|남|30|기혼|경남|프리랜서|3500|2016|A|4200
B0082|남|33|미혼|경남|학생|4000|2016|F|5114
B0083|남|67|기혼|전남|회사원|3500|2010|A|4550
B0084|여|25|미혼|서울|회사원|3500|2007|H|4550
B0085|여|27|미혼|서울|회사원|3500|2000|B|4200
B0086|남|46|기혼|제주|학생|4000|2012|F|4800
B0087|여|44|기혼|경북|주부|3500|2004|D|5398
B0088|여|16|기혼|경남|학생|2500|2016|G|3000
B0089|여|42|미혼|경남|학생|2500|2012|G|3666
B0090|남|22|기혼|충남|전문직|3500|2005|D|4200
B0091|남|18|미혼|전남|주부|3500|2000|B|3850
B0092|여|59|기혼|울산|학생|4500|2004|F|4950
B0093|여|50|미혼|경북|학생|3500|2014|G|4200
B0094|여|44|미혼|대전|프리랜서|4000|2013|E|4800
B0095|남|63|기혼|부산|개인사업|4000|2003|F|4400
B0096|남|32|미혼|전북|개인사업|3000|2001|B|3300
B0097|남|45|미혼|인천|학생|3000|2001|E|3300
B0098|남|34|미혼|부산|전문직|2500|2005|C|3000
B0099|남|19|기혼|광주|개인사업|4000|2006|E|4800
B0100|여|46|미혼|강원|학생|3500|2008|B|4200
C0001|여|19|기혼|전남|주부|3000|2015|D|3900
C0002|남|18|기혼|충북|전문직|3500|2010|A|3850
C0003|남|58|기혼|울산|공무원|4000|2013|D|5721
C0004|여|15|기혼|경북|회사원|3500|2010|G|4200
C0005|여|49|미혼|대구|학생|4000|2003|E|4800
C0006|여|36|기혼|서울|개인사업|4000|2001|C|5490
C0007|여|32|기혼|충북|공무원|2000|2011|A|2600
C0008|여|49|미혼|세종|주부|4500|2000|D|5850
C0009|남|70|기혼|충남|프리랜서|4000|2000|B|5200
C0010|남|49|기혼|서울|주부|4500|2002|E|5761
C0011|남|51|기혼|충북|프리랜서|3000|2007|D|3600
C0012|여|44|미혼|서울|회사원|4000|2005|D|4800
C0013|남|60|미혼|대전|학생|3000|2006|A|3300
C0014|여|18|기혼|전남|주부|4000|2015|A|5200
C0015|여|30|미혼|대전|프리랜서|3000|2014|H|3600
C0016|남|66|미혼|서울|학생|4000|2001|D|4800
C0017|여|20|기혼|경남|학생|3500|2014|H|4575
C0018|남|23|미혼|대구|프리랜서|4000|2001|F|5200
C0019|남|58|기혼|울산|주부|4000|2001|E|4400
C0020|남|16|기혼|경남|전문직|2500|2015|F|3000
C0021|남|47|미혼|제주|프리랜서|3500|2014|H|4405
C0022|여|23|미혼|서울|공무원|3000|2000|F|3600
C0023|여|42|기혼|울산|학생|2500|2002|F|3000
C0024|남|39|기혼|대구|주부|4000|2003|F|5200
C0025|남|53|기혼|경북|회사원|3500|2014|B|4200
C0026|여|42|기혼|제주|개인사업|4000|2006|E|4400
C0027|남|41|미혼|경북|주부|4000|2004|C|5086
C0028|남|17|미혼|부산|전문직|3500|2009|F|4200
C0029|남|41|기혼|부산|공무원|3500|2013|F|3850
C0030|남|52|기혼|경북|공무원|3500|2009|G|3850
C0031|여|53|기혼|강원|공무원|4000|2002|A|4400
C0032|여|42|미혼|대구|전문직|3000|2008|C|3300
C0033|여|26|미혼|대구|학생|4000|2001|B|4800
C0034|남|45|기혼|인천|공무원|4000|2004|C|5200
C0035|남|23|기혼|전남|학생|4000|2008|B|5200
C0036|여|54|기혼|충남|주부|4500|2008|H|5967
C0037|남|23|미혼|서울|공무원|4000|2007|A|4400
C0038|남|23|기혼|인천|학생|3500|2016|B|4550
C0039|여|41|미혼|제주|프리랜서|3500|2002|C|3850
C0040|남|48|기혼|서울|학생|3000|2008|H|4691
C0041|여|69|기혼|전북|프리랜서|3500|2014|B|4200
C0042|여|66|미혼|충남|주부|4000|2015|G|4400
C0043|여|48|기혼|경남|공무원|3000|2013|B|3600
C0044|여|47|미혼|전남|학생|3000|2000|C|3900
C0045|남|15|미혼|제주|프리랜서|4500|2006|B|5271
C0046|여|52|기혼|제주|전문직|4500|2001|E|6029
C0047|여|26|미혼|전남|주부|3000|2014|C|3900
C0048|여|32|미혼|인천|공무원|3500|2003|E|4550
C0049|남|68|기혼|충남|공무원|3500|2010|D|3850
C0050|남|16|기혼|대전|전문직|3500|2012|E|4200
C0051|남|33|미혼|인천|프리랜서|3000|2002|E|3600
C0052|여|53|미혼|서울|회사원|3000|2013|E|3300
C0053|남|69|기혼|인천|전문직|3000|2009|B|3600
C0054|여|28|기혼|인천|회사원|3000|2009|G|3600
C0055|여|42|기혼|경북|주부|2500|2015|H|2750
C0056|여|49|기혼|강원|프리랜서|3500|2006|H|4200
C0057|남|41|기혼|인천|학생|3000|2005|B|3900
C0058|여|15|기혼|서울|프리랜서|3500|2013|A|4550
C0059|여|60|기혼|전북|주부|5000|2011|H|6500
C0060|남|41|미혼|울산|회사원|4000|2006|D|5200
C0061|남|68|미혼|부산|개인사업|4500|2008|H|5850
C0062|여|42|미혼|세종|전문직|3500|2015|G|4437
C0063|남|49|기혼|경북|주부|2000|2009|E|3002
C0064|여|42|미혼|인천|프리랜서|3500|2013|E|4550
C0065|남|42|미혼|서울|공무원|4000|2011|H|5200
C0066|여|67|미혼|인천|학생|3000|2005|C|3600
C0067|남|47|기혼|강원|공무원|4000|2001|F|4800
C0068|여|38|미혼|울산|개인사업|4000|2004|B|5200
C0069|여|54|기혼|경북|회사원|3500|2008|C|4843
C0070|남|31|기혼|충남|전문직|4000|2001|B|4400
C0071|남|68|미혼|세종|학생|3500|2000|C|3850
C0072|여|35|기혼|전북|전문직|3000|2000|A|3600
C0073|여|60|기혼|대구|회사원|4000|2006|E|5200
C0074|남|65|미혼|제주|전문직|4000|2014|F|5200
C0075|여|17|미혼|경북|주부|3500|2004|C|4200
C0076|여|33|기혼|세종|회사원|3500|2001|D|4550
C0077|여|53|기혼|경남|주부|4500|2002|F|4950
C0078|남|33|기혼|제주|학생|4000|2012|H|4800
C0079|남|42|기혼|광주|학생|4500|2002|C|5850
C0080|여|23|기혼|인천|프리랜서|3500|2006|B|4315
C0081|남|19|기혼|충남|개인사업|3500|2014|E|4200
C0082|남|23|기혼|서울|주부|3500|2002|E|3850
C0083|남|39|기혼|경북|주부|3500|2008|H|4402
C0084|남|56|미혼|부산|개인사업|3000|2016|C|3900
C0085|남|45|기혼|울산|전문직|4000|2012|E|5200
C0086|여|43|기혼|서울|전문직|3500|2008|F|4831
C0087|남|69|미혼|서울|공무원|2500|2004|G|3357
C0088|남|42|기혼|제주|학생|3500|2012|D|4550
C0089|남|54|기혼|전북|학생|3500|2006|E|4944
C0090|여|62|미혼|대전|공무원|2500|2014|B|3000
C0091|여|69|미혼|광주|프리랜서|2500|2002|C|2750
C0092|남|20|기혼|서울|회사원|3500|2006|F|4550
C0093|여|18|미혼|충북|개인사업|3500|2004|B|3850
C0094|남|67|기혼|전남|학생|4000|2003|F|4800
C0095|남|25|기혼|전남|프리랜서|3500|2010|C|4686
C0096|여|45|기혼|충북|프리랜서|4000|2005|G|4400
C0097|남|64|미혼|전남|전문직|3500|2000|C|4190
C0098|남|67|기혼|제주|프리랜서|3000|2004|G|3600
C0099|남|66|미혼|대전|개인사업|3000|2009|A|3600
C0100|남|19|기혼|전남|개인사업|3500|2002|A|3850
D0001|남|24|미혼|경기|개인사업|4000|2014|D|5200
D0002|여|43|미혼|광주|공무원|3000|2007|F|4285
D0003|남|51|기혼|대전|공무원|3000|2014|B|3300
D0004|여|66|기혼|경북|학생|3000|2002|A|4525
D0005|여|60|미혼|인천|공무원|2500|2010|F|3927
D0006|여|20|미혼|부산|프리랜서|3500|2007|D|3850
D0007|남|33|미혼|경남|개인사업|3000|2011|C|3300
D0008|남|56|미혼|강원|주부|3000|2002|H|3900
D0009|여|63|기혼|서울|전문직|3000|2014|F|3300
D0010|남|30|미혼|전북|전문직|3000|2008|H|3600
D0011|남|28|기혼|전남|전문직|4000|2013|C|5749
D0012|남|17|미혼|강원|주부|3500|2014|G|3850
D0013|여|68|미혼|충북|학생|3500|2007|D|3850
D0014|여|31|미혼|제주|학생|4000|2001|C|4800
D0015|남|24|미혼|울산|공무원|4000|2011|B|5519
D0016|남|45|기혼|전남|회사원|4000|2011|F|4800
D0017|여|21|기혼|울산|회사원|4000|2015|F|5762
D0018|남|16|기혼|충북|주부|4000|2007|D|5200
D0019|여|68|기혼|제주|프리랜서|3000|2010|A|3600
D0020|남|43|기혼|전북|학생|3000|2007|H|3300
D0021|남|23|기혼|충북|개인사업|4000|2001|H|4630
D0022|여|60|미혼|충남|개인사업|4000|2005|C|4800
D0023|남|41|미혼|충남|회사원|4500|2009|C|4950
D0024|남|54|미혼|인천|주부|3000|2014|H|3600
D0025|남|23|미혼|서울|개인사업|3000|2008|H|4027
D0026|여|55|기혼|충북|프리랜서|3000|2015|C|3736
D0027|여|55|미혼|경기|회사원|3500|2007|B|4550
D0028|여|59|미혼|경북|회사원|4000|2007|H|4800
D0029|여|51|기혼|인천|공무원|2500|2009|A|3389
D0030|남|27|기혼|대전|개인사업|2500|2005|C|3465
D0031|남|59|미혼|경기|전문직|3000|2000|G|3600
D0032|남|16|기혼|강원|프리랜서|3500|2011|E|4550
D0033|남|65|미혼|서울|전문직|4000|2013|E|5200
D0034|여|24|기혼|울산|회사원|3500|2003|D|3850
D0035|남|15|기혼|부산|공무원|3000|2011|B|4116
D0036|여|27|기혼|울산|학생|3500|2003|B|4740
D0037|남|42|기혼|제주|학생|3000|2004|B|4013
D0038|남|63|미혼|강원|프리랜서|3000|2014|C|3900
D0039|남|23|미혼|대전|개인사업|3500|2013|E|4200
D0040|남|65|미혼|광주|프리랜서|3500|2009|D|4775
D0041|남|38|미혼|대전|개인사업|3500|2011|E|4200
D0042|남|63|미혼|세종|개인사업|3500|2008|A|4550
D0043|여|45|미혼|제주|전문직|3000|2005|A|3900
D0044|남|59|기혼|전남|주부|3000|2003|F|3900
D0045|여|66|기혼|울산|공무원|3500|2010|A|4200
D0046|여|52|기혼|경기|회사원|3000|2009|A|3300
D0047|남|18|미혼|강원|학생|3500|2004|D|3850
D0048|여|51|미혼|울산|프리랜서|4000|2004|D|5200
D0049|남|69|기혼|강원|공무원|3500|2014|E|4200
D0050|여|44|기혼|충북|주부|3000|2015|D|3300
D0051|남|62|미혼|울산|공무원|3500|2015|B|3850
D0052|남|35|기혼|대전|회사원|4000|2011|E|5199
D0053|여|65|기혼|인천|전문직|2500|2003|F|3250
D0054|여|19|미혼|세종|전문직|4000|2014|C|5771
D0055|남|38|미혼|전북|학생|4000|2012|D|4800
D0056|여|67|미혼|울산|전문직|4000|2003|A|4800
D0057|남|29|기혼|인천|회사원|3500|2006|D|4832
D0058|남|40|기혼|충남|개인사업|3500|2015|C|3850
D0059|남|29|미혼|울산|회사원|4500|2016|F|4950
D0060|여|20|기혼|대전|회사원|3500|2012|G|3850
D0061|여|47|미혼|경남|공무원|3500|2005|F|4200
D0062|여|20|미혼|경남|공무원|3500|2012|C|4550
D0063|남|25|미혼|서울|공무원|4000|2001|F|4400
D0064|여|54|기혼|전북|학생|4000|2014|E|4400
D0065|여|70|미혼|전남|회사원|5000|2011|E|6500
D0066|여|46|미혼|부산|공무원|3500|2007|E|3850
D0067|남|23|미혼|세종|개인사업|4000|2014|H|4400
D0068|남|31|기혼|대전|학생|4000|2006|G|4800
D0069|남|50|기혼|충북|주부|3000|2014|F|3900
D0070|여|40|미혼|광주|학생|3500|2011|F|3850
D0071|여|45|미혼|광주|공무원|3500|2010|A|4607
D0072|남|69|미혼|경남|전문직|4000|2016|A|5200
D0073|남|15|미혼|충남|전문직|3500|2000|E|4986
D0074|여|17|미혼|경기|전문직|3500|2006|H|4200
D0075|남|34|미혼|전북|공무원|3500|2006|A|4248
D0076|여|47|기혼|강원|공무원|3000|2010|E|3600
D0077|남|54|기혼|대전|주부|3500|2007|D|4173
D0078|여|21|미혼|전남|공무원|4000|2012|A|4400
D0079|남|19|기혼|서울|전문직|3500|2012|B|4550
D0080|여|41|미혼|제주|회사원|3500|2009|F|4550
D0081|남|35|미혼|대구|프리랜서|3500|2001|H|4200
D0082|여|18|기혼|전남|학생|3000|2004|G|3600
D0083|남|28|기혼|부산|개인사업|4500|2000|A|4950
D0084|남|42|기혼|인천|공무원|3000|2016|F|4484
D0085|여|65|기혼|제주|공무원|2500|2012|D|2750
D0086|남|28|미혼|전북|전문직|4000|2014|G|5200
D0087|여|46|미혼|울산|개인사업|4000|2016|A|5952
D0088|남|34|미혼|충남|공무원|2500|2014|E|3000
D0089|여|41|기혼|서울|프리랜서|3500|2006|A|4200
D0090|여|51|기혼|세종|학생|3000|2016|B|3900
D0091|여|57|기혼|경남|학생|3000|2016|A|4503
D0092|남|65|기혼|전북|학생|3000|2014|G|3900
D0093|남|48|미혼|대구|개인사업|3000|2007|B|3300
D0094|여|25|미혼|충남|프리랜서|4500|2004|G|5400
D0095|여|46|미혼|충북|개인사업|3000|2013|F|4148
D0096|여|34|미혼|강원|개인사업|3500|2015|H|4200
D0097|여|26|기혼|충남|프리랜서|4500|2008|B|5850
D0098|남|65|미혼|충북|주부|4000|2002|E|5200
D0099|남|15|미혼|제주|주부|4000|2012|G|5601
D0100|남|26|기혼|대전|전문직|3500|2006|A|4200
E0001|남|67|미혼|대전|학생|4000|2001|C|4800
E0002|남|62|기혼|경기|전문직|4000|2010|H|5200
E0003|여|56|미혼|부산|프리랜서|3000|2002|C|4066
E0004|남|39|미혼|제주|학생|3500|2013|C|4200
E0005|여|23|기혼|울산|개인사업|3000|2003|C|3600
E0006|여|17|기혼|경기|프리랜서|3000|2005|C|4068
E0007|여|69|미혼|광주|개인사업|3500|2011|A|4200
E0008|남|43|미혼|제주|주부|3500|2014|C|3850
E0009|남|47|미혼|전북|주부|3500|2001|B|3850
E0010|여|25|기혼|충남|주부|3000|2004|F|3300
E0011|남|68|미혼|서울|회사원|3500|2010|F|4200
E0012|여|61|기혼|경북|프리랜서|3000|2014|B|4334
E0013|남|20|기혼|서울|공무원|3500|2007|A|4550
E0014|남|64|기혼|경기|프리랜서|3500|2011|G|4550
E0015|남|46|기혼|충남|프리랜서|4500|2007|A|5400
E0016|여|43|기혼|경북|학생|2000|2012|C|2400
E0017|여|18|기혼|충남|전문직|4000|2016|A|5198
E0018|여|21|미혼|광주|공무원|3500|2014|G|4550
E0019|남|17|미혼|광주|전문직|3000|2011|E|3600
E0020|남|70|미혼|충북|개인사업|3500|2016|G|3850
E0021|여|58|기혼|광주|주부|3500|2002|A|3850
E0022|여|30|미혼|전북|개인사업|3500|2010|A|4933
E0023|여|64|미혼|전남|학생|4000|2003|H|4400
E0024|여|49|미혼|서울|회사원|4000|2012|D|5200
E0025|여|57|미혼|충남|회사원|3500|2000|C|5027
E0026|남|19|기혼|부산|공무원|3000|2011|G|3300
E0027|남|35|미혼|부산|공무원|3000|2004|A|3900
E0028|남|44|미혼|대구|주부|3000|2000|A|3300
E0029|여|70|미혼|제주|공무원|2500|2003|G|2750
E0030|여|20|미혼|광주|공무원|3000|2004|F|3600
E0031|남|59|미혼|부산|공무원|2500|2003|F|2750
E0032|여|17|기혼|충북|회사원|4000|2003|F|4800
E0033|남|31|기혼|전북|학생|3500|2014|A|4200
E0034|남|45|기혼|울산|공무원|2500|2005|G|3000
E0035|남|39|기혼|울산|회사원|3500|2011|B|4200
E0036|여|56|미혼|광주|주부|3500|2005|E|5005
E0037|남|31|미혼|경남|개인사업|3000|2008|G|3600
E0038|여|19|기혼|전북|회사원|3500|2009|F|3850
E0039|여|58|기혼|충남|프리랜서|3500|2006|E|3850
E0040|남|64|기혼|경북|주부|3500|2008|C|4550
E0041|남|25|미혼|충남|전문직|4000|2005|A|4800
E0042|남|56|기혼|울산|회사원|4000|2005|E|4400
E0043|남|59|미혼|충북|전문직|3500|2015|H|4550
E0044|여|68|미혼|전남|전문직|2500|2011|F|3914
E0045|여|24|미혼|경기|프리랜서|3500|2011|E|4550
E0046|여|26|미혼|울산|프리랜서|3500|2012|C|3850
E0047|남|46|미혼|경북|전문직|4000|2011|E|4800
E0048|여|29|기혼|대구|주부|3000|2005|F|3600
E0049|남|67|기혼|강원|회사원|2500|2008|G|2750
E0050|남|40|기혼|제주|회사원|3000|2009|B|4895
E0051|남|55|미혼|광주|주부|3500|2007|G|3850
E0052|남|65|미혼|세종|주부|3500|2014|D|3850
E0053|남|34|미혼|서울|공무원|3500|2014|B|4550
E0054|남|25|미혼|전북|회사원|3000|2010|C|3600
E0055|여|48|미혼|전남|전문직|4000|2016|G|5200
E0056|여|16|기혼|전남|개인사업|4000|2006|D|4800
E0057|남|39|미혼|대구|공무원|2500|2012|H|3203
E0058|남|22|미혼|세종|개인사업|4000|2007|H|4931
E0059|남|27|미혼|전남|학생|3500|2012|A|3850
E0060|남|23|미혼|경북|주부|3500|2016|E|4200
E0061|남|45|기혼|세종|학생|4000|2010|G|4400
E0062|남|66|기혼|경기|학생|3500|2002|A|4713
E0063|여|47|기혼|세종|전문직|3000|2011|F|3600
